,DATE,WEATHER,TEMPC,WIND
774,2009-01-25 14,normal,-3.3,5.0
775,2009-01-25 15,normal,-3.3,10.0
776,2009-01-25 16,normal,-3.3,9.0
777,2009-01-25 17,normal,-3.3,6.0
778,2009-01-25 18,normal,-3.3,6.0
779,2009-01-25 19,normal,-3.9,8.0
780,2009-01-25 20,normal,-3.9,7.0
781,2009-01-25 21,normal,-4.4,7.0
782,2009-01-25 22,normal,-5.6,8.0
784,2009-01-25 23,normal,,
785,2009-01-26 00,normal,-6.1,8.0
786,2009-01-26 01,normal,-6.7,8.0
787,2009-01-26 02,normal,-6.7,7.0
788,2009-01-26 03,normal,-7.2,5.0
789,2009-01-26 04,normal,-7.2,0.0
790,2009-01-26 05,normal,-7.2,3.0
791,2009-01-26 06,normal,-7.2,6.0
792,2009-01-26 07,normal,-7.2,6.0
793,2009-01-26 08,normal,-6.7,5.0
794,2009-01-26 09,normal,-6.7,3.0
795,2009-01-26 10,normal,-5.0,5.0
796,2009-01-26 11,normal,-4.4,8.0
797,2009-01-26 12,normal,-2.8,7.0
798,2009-01-26 13,normal,-2.2,0.0
799,2009-01-26 14,normal,-2.2,9.0
800,2009-01-26 15,normal,-1.7,5.0
801,2009-01-26 16,normal,-1.7,0.0
802,2009-01-26 17,normal,-1.7,0.0
803,2009-01-26 18,normal,-2.2,5.0
